model,display_name,status,accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,brier_score,ece,cv_best_score,training_time,inference_ms_per_row,decision_threshold,random_seed,calibrated,metrics_split,source_experiment
lightgbm,LightGBM,completed,0.7828817701626679,0.3499594484995945,0.6510750660128254,0.8042197184818785,0.4552288012659897,0.8179414150190627,0.416740760359988,0.11895707192422254,0.13540235835461517,0.4343520875251044,197.30798929999582,0.0013635928834341917,0.38,42,True,test,20260825T171739Z_4aa740a6
logistic_regression,Logistic Regression,completed,0.7828817701626679,0.35294117647058826,0.6699358732553753,0.8011663765991878,0.46231940648184305,0.824479301261772,0.42235735652381223,0.17382678914523847,0.23744138263307227,0.4433799242896903,19.04175750000286,0.00031859774519017194,0.59,42,True,test,20260825T171739Z_4aa740a6
mlp,Multilayer Perceptron,completed,0.7870338738075842,0.35436590436590437,0.6429649188985288,0.8103569356660866,0.45690926149309746,0.8195514798566799,0.4163396186118935,0.1511480280027857,0.18636859589331875,0.4469656146851963,2027.0154894000152,0.0005701127374789042,0.54,42,True,test,20260826T152829Z_81d2eeac
random_forest,Random Forest,completed,0.7934985415078969,0.35986842105263156,0.6190116937004904,0.8217459008885225,0.4551379836361115,0.8136484433985914,0.4051641491303601,0.14315859520770116,0.18806333170193615,0.450960003437168,555.5097475999792,0.0018037579165914486,0.5,42,True,test,20260825T171739Z_4aa740a6
xgboost,XGBoost,completed,0.7841957270123249,0.350247015232606,0.6418332704639759,0.8072425269457422,0.45318950592622187,0.8085752139288689,0.4038028850414832,0.14734949064105862,0.207948137195808,0.4442777873226523,172.95135029999074,0.0004759493342029556,0.48,42,True,test,20260825T171739Z_4aa740a6
